dwell_time_total,context,country,country_name,weight,age,age_group,gender,q06_vote,q01_currently_distributed,q03_household_income,q02_should_distributed,q04_household_size,q05_income,q05_income_group,q08_gap,q13_responsibility_govt,q14_live,q15_education
135,3,ES,Spain,0.8618055566446141,35_54,3,1,20,3,4,3,3,331,1,2,NA,NA,NA
NA,2,ES,Spain,0.8618055566446141,35_54,3,1,15,2,3,NA,NA,NA,NA,NA,NA,NA,NA
98,3,ES,Spain,0.7212800061246206,18_34,2,2,20,6,5,NA,NA,NA,NA,NA,NA,NA,NA
103,3,ES,Spain,1.38016368045989,55_and_over,4,1,18,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
1273,2,ES,Spain,0.8618055566446141,35_54,3,1,18,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,3,ES,Spain,1.38016368045989,55_and_over,4,1,19,6,1,6,8,360,1,3,3,1,15
290,3,ES,Spain,0.7212800061246206,18_34,2,2,19,5,1,3,5,345,1,NA,NA,NA,NA
294,2,ES,Spain,1.38016368045989,55_and_over,4,1,14,1,5,4,4,336,1,1,5,4,14
NA,2,ES,Spain,1.38016368045989,55_and_over,4,1,13,6,3,6,4,338,1,4,3,1,13
169,2,ES,Spain,0.45630889606036246,18_34,2,1,20,5,5,6,2,326,1,3,2,1,13
223,2,ES,Spain,0.45630889606036246,18_34,2,1,19,5,3,4,5,341,1,1,3,4,16
NA,2,ES,Spain,0.45630889606036246,18_34,2,1,16,6,3,6,4,337,1,3,6,1,12
NA,2,ES,Spain,0.7212800061246206,18_34,2,2,18,4,4,3,3,331,1,2,4,2,15
NA,2,ES,Spain,0.45630889606036246,18_34,2,1,20,5,3,NA,NA,NA,NA,NA,NA,NA,NA
87,3,ES,Spain,1.38016368045989,55_and_over,4,1,20,3,3,6,6,NA,NA,NA,NA,NA,NA
53,3,ES,Spain,2.18160214821541,55_and_over,4,2,20,5,3,4,5,344,1,3,6,2,13
51,2,ES,Spain,1.3622419429943156,35_54,3,2,20,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
181,2,ES,Spain,0.8618055566446141,35_54,3,1,17,2,4,5,3,331,1,2,2,2,14
78,3,ES,Spain,0.7212800061246206,18_34,2,2,14,5,1,1,NA,NA,NA,NA,NA,NA,NA
228,3,ES,Spain,0.45630889606036246,18_34,2,1,15,2,4,6,5,341,1,1,1,1,14
NA,3,ES,Spain,0.45630889606036246,18_34,2,1,15,1,4,6,4,336,1,1,3,1,14
68,2,ES,Spain,0.8618055566446141,35_54,3,1,19,1,2,NA,NA,NA,NA,NA,NA,NA,NA
64,3,ES,Spain,0.7212800061246206,18_34,2,2,20,3,3,3,NA,NA,NA,NA,NA,NA,NA
105,3,ES,Spain,1.38016368045989,55_and_over,4,1,13,4,3,6,5,341,1,3,6,4,15
77,3,ES,Spain,0.45630889606036246,18_34,2,1,16,3,3,5,3,NA,NA,NA,NA,NA,NA
102,2,ES,Spain,0.45630889606036246,18_34,2,1,15,3,3,NA,NA,NA,NA,NA,NA,NA,NA
348,2,ES,Spain,0.45630889606036246,18_34,2,1,15,2,5,6,3,331,1,1,1,2,12
NA,2,ES,Spain,0.8618055566446141,35_54,3,1,13,3,3,5,2,327,1,4,2,1,15
335,2,ES,Spain,0.8618055566446141,35_54,3,1,13,1,5,6,3,331,1,2,1,2,13
137,2,ES,Spain,2.18160214821541,55_and_over,4,2,13,1,5,NA,NA,NA,NA,NA,NA,NA,NA
156,2,ES,Spain,1.38016368045989,55_and_over,4,1,14,3,3,5,3,331,1,5,3,NA,NA
31,2,ES,Spain,0.45630889606036246,18_34,2,1,20,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,3,ES,Spain,0.45630889606036246,18_34,2,1,15,3,4,5,3,331,1,3,6,2,16
40,2,ES,Spain,0.45630889606036246,18_34,2,1,20,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
403,2,ES,Spain,0.8618055566446141,35_54,3,1,20,1,2,1,NA,NA,NA,NA,NA,NA,NA
382,2,ES,Spain,1.3622419429943156,35_54,3,2,20,1,2,1,NA,NA,NA,NA,NA,NA,NA
288,3,ES,Spain,2.18160214821541,55_and_over,4,2,16,2,4,4,2,326,1,1,1,4,15
433,3,ES,Spain,0.8618055566446141,35_54,3,1,20,1,2,1,NA,NA,NA,NA,NA,NA,NA
119,2,ES,Spain,2.18160214821541,55_and_over,4,2,20,3,3,4,2,NA,NA,NA,NA,NA,NA
72,3,ES,Spain,0.45630889606036246,18_34,2,1,15,1,3,6,3,NA,NA,NA,NA,NA,NA
